,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018,3/29/2019,6/28/2019,9/30/2019,12/31/2019
WH UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.5,4.545,4.727,4.7,4.8,4.769,4.769
WHD UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.75,4.7,5,5,5,5,5,4.846
WHG UN Equity,#N/A N/A,,,,,,,,,,,
WHR UN Equity,4.2,4.091,4.091,3.727,3.727,4.2,3.8,3.2,3,3.444,3.444,3.667
WIFI UW Equity,4.556,4.6,4.6,4.556,4.6,4.6,4.6,5,5,5,5,5
WINA UQ Equity,#N/A N/A,,,,,,,,,,,
WING UW Equity,4.5,4.667,4.667,4.2,3.933,4.2,3.857,3.8,3.933,3.875,3.6,3.952
WIRE UW Equity,3,3,3,4,4,5,5,5,4,5,5,5
WK UN Equity,4,4.143,4.143,4.143,3.857,3.857,4,4,4,4,4,3.857
WLDN UQ Equity,5,5,5,5,5,5,5,5,5,5,5,5
WLFC UQ Equity,#N/A N/A,,,,,,,,,,,
WLK UN Equity,4,3.938,4.063,4.222,3.9,3.8,3.389,3.45,3.55,3.7,3.35,3.211
WLL UN Equity,3.632,3.457,3.375,3.364,3.765,4,3.929,4.032,4.188,4.091,3.581,3.345
WLTW UW Equity,4.048,4.048,4.048,3.952,3.8,3.9,3.857,4.1,4.556,4.222,4.444,4.444
WM UN Equity,3.714,3.857,3.857,3.923,4,4,4,4.167,4.385,4.5,4.286,3.933
WMB UN Equity,3.9,4.238,4.4,4.4,4.429,4.474,4.333,4.583,4.652,4.652,4.5,4.538
WMC UN Equity,2.5,2.5,3,3,3,3,3,3,3.667,3.667,3.667,3.667
WMGI UW Equity,4.625,4.529,4.529,4.467,4.5,4.571,4.867,4.778,4.778,4.778,4.412,3.333
WMK UN Equity,#N/A N/A,,,,,,,,,,,
WMS UN Equity,3.5,3.5,3.5,3.333,3.4,3.4,3.4,3.4,3.4,3.4,3.5,4
WMT UN Equity,3.447,3.528,3.657,3.784,3.806,3.735,3.757,3.848,3.778,3.886,3.944,4.111
WNC UN Equity,3.286,3.286,3.571,3.333,3.333,3.286,3.333,3.571,3.667,3.8,3.5,3.8
WNEB UW Equity,4,4,4,3.5,3.5,4,3.5,4,4,4,4,4
WOR UN Equity,2.5,3,3,3,3,3,3,3,3,3,3,3
WOW UN Equity,#N/A N/A,5,5,5,4.333,4.25,4,3.889,3.889,3.6,3.4,3.4
WPC UN Equity,3,2.429,2.333,2.429,2.714,2.714,2.714,2.75,2.8,2.8,2.8,3.4
WPG UN Equity,3,3,2.333,2.333,2.333,3,3,2,1,1,1,1
WPX UN Equity,4.56,4.536,4.48,4.593,4.679,4.893,4.828,4.844,4.743,4.8,4.806,4.656
WRB UN Equity,2.833,2.6,2.636,2.636,2.8,2.455,2.333,2.5,2.5,2.333,2.333,2.5
WRE UN Equity,3.857,4.143,4.143,4.143,3.857,3.857,3.857,3.571,3.571,3.286,3.286,3.286
WRI UN Equity,3.364,3.333,3.333,3.5,3.667,3.667,3.8,3.727,3.545,3.8,3.727,3.909
WRK UN Equity,4.25,4.5,4.5,4.375,4.333,4.333,4.2,4.067,3.8,3.875,3.75,3.875
