,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018,3/29/2019,6/28/2019,9/30/2019,12/31/2019
A UN Equity,4.5,4.333,4.429,4.429,4.467,4.714,4.714,4.571,5,4.867,4.286,4.067
AA UN Equity,4.294,4.286,4.125,4.2,4.333,4.2,4.294,4.333,4.444,4.294,3.875,3.533
AAL UW Equity,3.588,3.333,3.632,3.737,4.053,4.333,4.412,4.45,4.227,4.227,3.864,3.714
AAN UN Equity,4.2,4,4.2,4.636,4.556,4.778,4.778,4.556,4.778,4.778,4.8,4.8
AAOI UQ Equity,4.143,4,3.8,3.444,3.444,3.2,3,3.222,2.556,3,3,3
AAON UW Equity,3,3,3,3,3,3,3,3,3,2.333,2.333,2.333
AAP UN Equity,3.821,3.893,3.852,3.75,3.741,3.96,4.04,4,4.25,4.364,4.238,4.043
AAPL UW Equity,4.52,4.565,4.591,4.636,4.227,4.174,4.17,3.98,3.978,3.796,3.813,3.878
AAT UN Equity,4,4,3.857,3.571,3.857,3.857,3.857,4.143,4.143,4,4,4
AAWW UW Equity,4.222,4,4,4.2,4.4,4.4,4.455,4.273,4.273,4.273,4,4
AAXN UW Equity,4.333,4.333,4.333,4.333,4.2,4.091,4.143,4.143,4.286,4.286,4.286,4.267
ABBV UN Equity,3.727,3.818,3.727,3.917,3.8,3.667,3.609,3.6,3.3,3.625,4.231,4.231
ABC UN Equity,3.875,3.667,3.667,4.2,4.263,4.222,4.111,4.059,4.176,3.737,3.737,3.632
ABCB UW Equity,3.333,3.667,3.667,4,4.2,3.8,3.667,4.667,5,5,5,5
ABEO UR Equity,5,5,5,5,5,5,5,4.8,4.8,4.8,4,4.143
ABG UN Equity,3.615,3.615,3.5,3.364,3.364,3.444,3.6,3.4,3.4,3.4,3.2,3.2
ABM UN Equity,3.667,3.667,4.6,4.6,4.5,4.5,4,4,4,3.8,3.667,3.571
ABMD UW Equity,4.75,4.778,4.8,4.6,4.6,4.636,4.636,5,5,5,4.333,4.111
ABT UN Equity,4.4,4.333,4.273,4.364,4.565,4.545,4.545,4.6,4.538,4.5,4.652,4.6
ABTX UQ Equity,4,4,4,4,4,4,4,3.8,3.667,3.8,3.8,3.4
AC UN Equity,#N/A N/A,,,,,,,,,,,
ACA UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.4,4.375,4.444,4.5,4.444
ACAD UW Equity,4.25,4.364,4.5,4.5,4.625,4.625,4.5,4.25,4.25,4.25,4.583,4.533
ACBI UW Equity,3.333,3.333,3.333,3.333,3.667,3.667,3.667,4.667,4.667,4.333,4,4
ACC UN Equity,3.4,3.533,3.75,3.385,3.583,3.636,3.455,3.583,3.583,3.727,4.091,4
ACCO UN Equity,4.2,4.2,4.2,4.2,4.2,4.333,4.333,4.333,4.333,4.333,4.333,4.333
ACER UR Equity,#N/A N/A,#N/A N/A,3,5,5,5,5,5,5,4,4,4
ACGL UW Equity,3.667,3.615,3.714,3.714,3.769,3.714,3.667,3.667,3.857,4,3.857,3.714
ACHC UW Equity,4.733,4.625,4.6,4.176,4.176,4.25,4.125,4,3.941,3.875,3.933,3.857
ACIA UW Equity,4.75,4.4,4.455,4.636,4.143,4.067,4,3.923,3.714,3.857,3.444,3.444
ACIW UW Equity,4.333,4.2,4.333,4.333,4.2,4.2,4.2,4.5,4.5,5,5,5
ACLS UW Equity,4.6,4.6,4.6,4.2,4.6,4.667,5,4.2,4.6,4.2,4.2,4.667
ACM UN Equity,4.385,4.143,4,3.8,3.933,3.857,3.769,4,4,3.667,4.167,4.636
ACN UN Equity,4.031,3.967,3.967,3.968,4.097,4.069,3.893,4.036,4.069,3.962,4.036,4.222
ACNB UR Equity,#N/A N/A,,,,,,,,,,,
ACOR UW Equity,4.2,3.75,3.667,3.154,3.4,3.222,3.2,3,3.25,3.222,3,2.714
ACRE UN Equity,3.875,3.875,3.5,3.5,3.2,3.6,3.5,3.714,3.833,3.6,3.6,3.6
ACRS UW Equity,4.833,4.833,4.833,4.833,4.857,4.857,4.833,4.833,4.833,4.5,4.2,4.6
ACRX UQ Equity,4.333,4.333,4.333,4,4.333,4.5,4.333,4.714,4.714,4.75,4.75,4.667
ACTG UW Equity,3.667,3.667,3.667,3.667,3.667,5,5,5,5,5,5,5
ADBE UW Equity,4.5,4.424,4.441,4.382,4.394,4.267,4.333,4.438,4.212,4.226,4.267,4.25
ADC UN Equity,4.273,4.273,4.4,4.6,4.556,4.556,4.556,4.778,4.556,4.556,4.556,4.818
ADES UQ Equity,5,5,5,5,5,5,5,5,5,5,5,5
ADI UW Equity,4.214,4.179,4.185,4.185,4.407,4.462,4.185,4.185,4,4.077,4.185,4.286
ADM UN Equity,3.25,3.133,3,2.889,3.5,3.625,3.75,3.8,4.143,4.231,4.286,4.286
ADMA UQ Equity,4.5,4.5,4.5,5,5,5,5,4.833,4.857,5,5,5
ADMS UQ Equity,4.889,4.857,4.857,4.889,4.9,4.9,4.909,4.545,4,4.3,4,4
ADNT UN Equity,3.8,3.8,3.714,3.667,3.286,3.143,3.308,3.125,3,3.25,2.846,2.846
ADP UW Equity,3.333,3.286,3.1,3.3,3.316,3.235,3.5,3.636,3.636,3.636,3.636,3.476
ADPT UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5
ADRO UW Equity,4.333,4.2,4.333,4.429,4.429,4.429,4.333,4.333,4.333,4.667,4.667,4.333
ADS UN Equity,4.036,3.931,3.931,3.862,3.967,3.964,4.033,4.276,4.107,4,4.08,3.955
ADSK UW Equity,4,4.391,4.44,4.44,4.478,4.478,4.417,4.417,4.25,4.462,4.308,4.231
ADSW UN Equity,4.8,5,4.778,4.778,5,5,5,4.556,4.2,3.5,3,3
ADT UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,4.778,4.556,4.333,4.333,4
ADTN UW Equity,3.727,3.909,3.909,3.8,4.143,3.857,3.571,3.571,3.286,3.286,3.286,3
ADUS UW Equity,4.5,4.5,4.5,4.5,4.5,4.5,4.714,4.714,5,4.714,4.75,4.8
ADVM UQ Equity,4.333,4.333,4,4.333,4.5,4.5,4.667,3.667,3.667,3.667,3.667,3.857
AEE UN Equity,3.769,3.5,3.5,3.182,3.308,3.727,3.615,3,3.167,3.154,3.615,3.857
AEGN UW Equity,3.75,3.75,3.571,3.286,3.286,3.333,3.333,3,3,3,3,3
AEIS UW Equity,3.75,3.75,3.667,3.571,3.75,3.75,3.857,3.857,3.857,4,4.286,4.125
AEL UN Equity,4.333,4,3.889,3.8,3.545,3.727,3.727,3.727,3.727,3.545,3.545,3.6
AEO UN Equity,3.667,3.4,3.444,3.588,3.875,3.889,3.75,4.067,4.067,3.8,3.875,3.625
AEP UN Equity,4.043,3.857,3.7,3.737,4.1,4.158,4.333,4.3,4.1,3.857,3.8,3.842
AERI UQ Equity,4.727,4.667,4.667,4.667,4.727,4.727,4.7,4.727,4.75,4.727,4.7,4.727
AES UN Equity,3.462,3.909,3.909,4.111,4,3.727,3.545,3.545,3.364,3.909,3.909,3.8
AFG UN Equity,4.6,5,4.6,4.6,4.6,4.6,4.2,4.2,4,4.333,4.333,4.333
AFI UN Equity,3.4,3.333,3,3,3,3,3,3.4,3.4,3,3,3
AFIN UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3,3,3,3,3,3
AFL UN Equity,2.875,3.133,3.154,3.143,3.125,3.125,3.267,3.267,3.133,3.133,3,3
AFMD UQ Equity,4.333,4.333,4.429,4.333,4.6,4.6,5,5,5,5,5,5
AGCO UN Equity,2.895,3.2,3.3,3.19,3.19,3.1,3.1,3.316,3.105,3.211,3.421,3.526
AGE UA Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5
AGEN UR Equity,4.4,4.4,4.667,4.667,4.667,5,5,5,5,5,5,5
AGIO UW Equity,4.6,4.4,4.8,4.8,4.556,4.6,4.333,4.333,4.5,4.5,4.667,4.692
AGLE UQ Equity,5,5,5,5,5,5,4.667,4.667,4.667,4.714,4.714,4.714
AGM UN Equity,3,3,3,3,3.667,4,4,4,5,4,4,4
AGN UN Equity,4.583,4.5,4.417,4.231,4.333,4.308,4.36,4.5,4.167,3.833,3.526,3.4
AGNC UW Equity,3.308,3.167,3,3,3.2,3.25,3.2,3.667,3.889,3.8,3.8,3.667
AGO UN Equity,4.5,5,5,4.2,4.2,4.2,4.2,5,5,5,5,5
AGR UN Equity,4,4.111,4.333,4.2,4.273,4.273,3.909,3.6,2.818,2.5,2.333,2.273
AGS UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.667,4.714,5,5,5,5,4.111,4.5
AGX UN Equity,4,3.667,3.667,3,3.667,3.667,3.667,4,4,4,4,4
AGYS UW Equity,5,5,5,5,5,5,5,5,5,5,5,5
AHH UN Equity,4.667,4.333,4.714,4.714,4.429,4.429,4.429,4.429,4.429,4.429,4.429,4.429
AHT UN Equity,4,4.143,4.143,4.333,4.2,3.667,3.667,4.2,3.667,3.8,3.333,3.333
AI UN Equity,3.667,3.75,3.857,3.857,4,3.667,3.667,3.8,3.5,3.5,3.5,3.5
AIG UN Equity,4.3,4.333,4.053,4,4.111,4.368,4.368,4.368,4.3,4.2,4.263,4.263
AIMC UW Equity,4,4,4,3.8,4.2,4,5,4.8,4.8,4.75,4.25,4.333
AIMT UW Equity,4.8,4.8,4.8,4.857,4.889,4.889,4.7,4.545,4.545,4.444,4.5,4.182
AIN UN Equity,4,3,3,3,3,3,3,3,3.667,3.5,3.667,3.333
AIR UN Equity,4.25,4.4,3.833,3.833,4.833,4.833,4.5,4.4,4.4,4.4,4.6,4.6
AIRG UR Equity,5,5,5,5,4.333,4.333,5,5,5,5,5,4
AIT UN Equity,3,3,3,3.2,3.2,3.2,3.4,3.4,4.25,4.25,3.8,4.2
AIV UN Equity,3.706,3.471,3.333,3.467,3.625,3.625,3.625,3.471,3.235,3.353,3.588,3.471
AIZ UN Equity,3,3,4,4,4.333,4.333,4.6,5,5,5,5,5
AJG UN Equity,4.059,3.8,3.8,3.667,3.714,3.8,3.875,3.933,4,4.077,4.077,4.077
AJRD UN Equity,4.6,4.6,5,3.8,3.5,3.5,3.5,3.5,3.5,3.8,3.667,3.667
AJX UN Equity,4.4,4.75,4.4,4.8,4.8,4.4,4.4,4.4,4.4,4.4,4.4,4.4
AKAM UW Equity,4.08,3.577,3.577,3.808,4.042,4.042,4,4.042,3.875,3.92,3.87,3.87
AKBA UQ Equity,4.625,4.857,4.571,4.7,4.7,4.714,4.556,4.556,4.4,4.4,4.333,4.333
AKCA UW Equity,#N/A N/A,#N/A N/A,5,5,3.8,4.2,4,4,4,4.2,3.8,4.2
AKR UN Equity,4.143,4,4,3.667,3.667,3.4,3.4,3.4,3.4,3.4,3.667,3.667
AKRO UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5
AKRX UW Equity,4,3.182,3.182,3.182,3,3,3,3.75,3.5,3.5,3.5,3.5
AKS UN Equity,3.143,3.8,3.714,4,3.533,3.267,3.667,3.625,2.867,2.571,2.231,3
AKTS UR Equity,5,5,5,4.667,4.75,4.75,5,5,4.75,4.75,4.75,4.75
AL UN Equity,4.692,4.5,4.273,4.167,4.385,4.385,4.667,4.692,4.667,4.692,4.833,5
ALB UN Equity,4.1,4.1,3.857,3.727,4.083,4.28,4.36,4.308,4.077,4.077,4.12,3.522
ALBO UR Equity,5,5,5,5,5,5,5,5,5,5,5,5
ALCO UW Equity,#N/A N/A,,,,,,,,,,,
ALDX UR Equity,5,5,5,5,5,5,5,5,5,5,5,5
ALE UN Equity,3.667,3.667,3.667,2.6,3.333,2.667,2.667,2.333,2.2,2.2,2.667,2.667
ALEC UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5
ALEX UN Equity,4.333,4.333,5,4.333,4.667,4.667,4.667,4.667,4.667,4.667,4.25,4.25
ALG UN Equity,3.667,3.667,3.667,3.667,3,3,3,5,4.5,4.5,4.25,4.25
ALGN UW Equity,4.692,4.846,5,4.833,4.692,4.625,4.625,4.75,4.625,4.556,4.333,4.111
ALGT UW Equity,3.769,3.462,3.286,3.286,3.714,3.857,3.714,3.933,4.125,4.125,4,4
ALK UN Equity,4.571,4.714,4.733,4.571,4,4.067,4.143,4.125,4.176,4.222,4.333,4.067
ALKS UW Equity,4.167,4,4,3.833,3.727,3.833,3.833,3.133,3,2.867,3.308,3.5
ALL UN Equity,4,4,3.667,3.636,3.476,3.571,3.667,3.857,3.857,3.8,3.632,3.571
ALLE UN Equity,4.6,4.2,4,4.091,4.167,4.2,3.909,4.167,3.667,3.545,3.364,3.182
ALLK UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.5,4.5,4.5,4.5,4.5,4.5
ALLO UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.5,4.714,4.273,4.333,4.357
ALLY UN Equity,4.316,4.35,4.188,4.316,4.19,4.318,4.409,4.476,4.55,4.571,4.65,4.526
ALNY UW Equity,4,3.944,4.111,4.333,4.333,4.412,4.556,4.474,4.684,4.5,4.421,4.381
ALOT UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5,5,5
ALRM UW Equity,4.4,4.455,4.333,4.231,4.692,4.538,4.385,4.5,4.333,4.273,4.273,4.273
ALRS UR Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3.667
ALSN UN Equity,4,4,3.667,3.556,3.333,3.556,3.588,3.556,3.444,3.556,3.706,3.875
ALTM UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,4.5,4,4,3.5
ALTR UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,3.8,4.143,4.143,4.143,4.143,4,4,3.5,3.222
ALX UN Equity,3,3,3,3,3,3,3,3,3,3,3,3
ALXN UW Equity,4.652,4.619,4.714,4.818,4.909,4.9,4.789,4.789,4.684,4.579,4.619,4.545
AM UN Equity,#N/A N/A,4.429,4.333,4.692,4.571,4.667,4.692,4.455,4.333,4.333,3.769,3.615
AMAG UW Equity,3.182,3,3.4,3.333,3.333,3.182,3.2,3,2.75,3,3.2,3
AMAL UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.333,4.333,4.333,4.333,4.6,4.6
AMAT UW Equity,4.583,4.5,4.75,4.739,4.808,4.519,4.444,4.286,4.333,4.321,4.276,4.414
AMBA UW Equity,4.077,4,3.667,3.4,3.6,3.545,3.5,3.615,3.769,3.615,3.5,3.333
AMBC UN Equity,3.667,4.333,4.333,4.333,4.333,4.333,4.333,4.333,4.333,4,4,4
AMC UN Equity,4.286,4.429,4.067,4.286,4,4.167,4.077,4.167,4,4.167,4.231,4.077
AMCX UW Equity,3.7,3.6,3.526,3.5,3.526,3.211,3.1,3,2.9,3,3.105,2.789
AMD UW Equity,3.519,3.333,3.323,3.429,3.464,3.6,3.588,3.472,3.486,3.703,3.41,3.524
AME UN Equity,4.667,4.667,4.765,4.75,4.733,4.647,4.625,4.733,4.75,4.75,4.875,4.667
AMED UW Equity,3.909,4.091,3.727,4,4.091,4.091,4.167,4.077,3.923,4.167,4.231,4.385
AMEH UR Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5,5,5
AMG UN Equity,4.8,4.6,4.4,4.4,4.6,4.4,4.6,4.6,4,4,3.6,3.4
AMGN UW Equity,4,3.857,3.786,3.759,3.828,3.846,3.815,3.846,3.786,4,3.8,3.966
AMH UN Equity,3.818,3.75,3.917,4.5,4.533,4.533,4.533,4.4,4.533,4.133,4,4.133
AMK UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.2,4.333
AMKR UW Equity,2.333,2.333,2.333,2.333,3,3,3,2.333,2.333,2.333,2.333,3
AMN UN Equity,4.556,4.6,4.5,4.6,4.6,4.4,4.4,4.273,4.273,4.4,4.4,4.4
AMNB UW Equity,4.333,4.333,4.333,3,3,3,3,4.333,4.333,4.333,3.667,4
AMOT UQ Equity,4,4,4,4,4,4,4,5,5,5,5,5
AMP UN Equity,4,4,3.909,3.909,3.833,3.769,3.833,4,4.167,4.333,4.385,4.385
AMPH UW Equity,4.667,4.667,4.667,4.333,4.333,4.333,4.333,4.333,3.667,3.667,3.667,3.667
AMPY UN Equity,2,2,2,2,3,3,3,3,3,3,3,5
AMRC UN Equity,4.333,5,5,5,5,5,5,4.5,5,5,5,5
AMRS UW Equity,4,4,4,4,5,5,5,5,5,5,5,5
AMRX UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4,4.067,3.714,3.545,3.667,3.769,3.308
AMSC UW Equity,5,5,4.5,4.5,4.333,4.333,4.5,4.5,5,5,5,5
AMSF UW Equity,4.667,4.667,4.25,4.25,4.25,4,4,4,4,4,4,4
AMSWA UW Equity,5,5,5,5,5,5,3,3,3,4,5,4
AMT UN Equity,4.76,4.84,4.833,4.833,4.833,4.75,4.5,4.048,3.818,3.5,3.667,3.727
AMTB UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.2,3.4,3,3
AMTD UW Equity,3.941,4.067,4.125,3.8,4,4.1,4.053,4.3,4.263,4.263,4.158,3.5
AMWD UW Equity,4.333,4.333,4.333,4.333,5,4.5,4.6,4.2,4.333,4.333,3.5,3.5
AMZN UW Equity,4.75,4.714,4.673,4.765,4.804,4.769,4.765,4.8,4.837,4.855,4.891,4.857
AN UN Equity,3.211,3.316,3.278,3.176,3.25,3,2.857,3.143,2.733,2.75,2.571,2.692
ANAB UW Equity,4.75,4.75,4.833,4.875,4.875,4.4,4.625,4.7,4.727,4.364,4.4,3.2
ANAT UW Equity,#N/A N/A,,,,,,,,,,,
ANDE UW Equity,4.333,4.333,4,3.8,3.8,3.8,4.2,3,3.667,3.667,3.667,3
ANET UN Equity,4.179,3.893,4.16,4.222,3.964,3.939,3.906,4,4.156,4.1,4.065,3.484
ANF UN Equity,2.545,2.5,2.6,2.6,2.714,2.875,2.75,2.75,2.875,2.625,3,3
ANGO UW Equity,3.667,3.667,3.4,3.4,3,3.5,3,3,3,3.5,3.5,3.5
ANH UN Equity,3,3,3,3,3,3,3,3,2,2,2,2
ANIK UW Equity,4,4,4,4,4.333,3.667,5,5,3.667,3.667,4.333,3.5
ANIP UQ Equity,4.333,4,4.333,4.333,5,5,5,5,5,5,5,5
ANSS UW Equity,3.125,3,3,2.889,2.875,3.267,3.25,3.556,3.588,3.375,3.875,3.625
ANTM UN Equity,4.053,4,4.059,4.053,4.143,4.238,4.364,4.429,4.478,4.667,4.75,4.52
AOBC UW Equity,3.286,3.286,4,4.143,4.429,4.429,4.429,4.143,3.857,3.667,3.4,4
AON UN Equity,3.667,3.526,3.526,3.4,3.526,3.526,3.7,3.762,3.857,3.571,3.5,3.3
AOS UN Equity,4.143,4,4.067,3.857,4.077,4.231,4.333,4.077,4.231,3.909,3.833,3.462
AOSL UW Equity,4.333,4.333,4.5,4.5,4.5,4,3.667,3.667,3,3.667,3.667,3.667
APA UN Equity,3.171,3.111,3.031,3.03,3.032,3.1,2.897,3.1,2.969,2.968,3.031,3.034
APAM UN Equity,2.5,3,3,2.714,2.714,2.714,2.714,2.714,2.429,2.714,2.714,3
APD UN Equity,3.696,3.87,4.045,4.318,4.348,4.348,4.522,4.625,4.458,4.375,3.917,3.815
APEI UW Equity,3,3,3,3,3,3.4,3.8,3.8,3.8,3.8,3.5,3.5
APH UN Equity,4,4,4,4.067,4.143,4.143,4.286,4.429,4.231,4.286,4.286,4.176
APLE UN Equity,3.2,3.6,3.75,3.667,3.4,3.4,3.8,3.8,3.8,3.667,4,4.143
APLS UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,5,5,4.6,5,5,4.714,4.714,5,4.4
APLT UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5
APOG UW Equity,4.4,4.5,4.5,4.5,4.5,4.4,4.4,4.167,4,4,4,3.75
APPF UQ Equity,3.5,3.5,3.667,3.667,3.667,3,3,3,3,4,3,3
APPN UQ Equity,#N/A N/A,3.333,3.333,3.5,2.333,2.333,2.5,2.75,2.556,3,3,3
APPS UR Equity,4.6,5,5,5,5,5,5,5,5,5,5,5
APRE UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3.667
APTS UN Equity,4.625,4.571,4.4,4.4,4.167,4.167,4.375,4.375,4.4,4.25,4,3.6
APTV UN Equity,4.292,4.423,4.519,4.333,4.308,4.375,4.348,4.483,4.357,4.286,4.083,4.25
APY UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.333,4.429,4.556,5,5,4.833,4.692
APYX UW Equity,4.667,4.667,4.667,4.667,4.667,4.667,4.75,4.75,4.75,4.75,4.75,4.75
AQUA UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,4,4,4.25,4.25,3.909,4.091,4,3.8,3.6
AR UN Equity,4.321,4.148,4.074,3.964,3.885,3.808,3.714,3.684,3.55,3.542,3.565,3.19
ARA UN Equity,4,4.333,4,5,3.667,4.333,4.5,4.2,3,3,3,3
ARAY UW Equity,3.571,3.571,3.571,3.286,3.286,3.286,3.286,3.571,3.571,3.571,3.667,3.8
ARCB UW Equity,3.167,3.182,3.167,2.667,2.818,3,3,2.846,2.846,3.154,3.154,3.2
ARCH UN Equity,4.667,4.667,4.7,4.778,4.556,4.333,4.333,4.2,4.2,4.111,4.25,4.667
ARD UN Equity,#N/A N/A,4.111,4.111,4.4,4.2,4.2,4.2,4,4,4.111,3.75,3.889
ARDX UQ Equity,4.857,4.833,4.833,4.857,4.857,4.833,4.857,5,5,5,5,5
ARE UN Equity,4.083,4.083,4.083,4.25,4.25,4.25,4.25,4.25,4.364,4.25,4.273,4.6
ARES UN Equity,4.25,4.556,4.556,4.556,4.333,4.5,4.636,4.636,4.818,4.818,4.833,4.692
ARGO UN Equity,3,3.5,3.5,4,4,4,4,3.8,4,4.333,4.2,3.8
ARI UN Equity,3.25,3.25,3.333,3.333,3.286,3.5,3.5,3.444,3.286,3.333,3.333,3
ARL UN Equity,#N/A N/A,,,,,,,,,,,
ARLO UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.375,4.375,3.714,3.2,3,3.667
ARMK UN Equity,4.5,4.5,4.5,4.5,4.5,4.333,4.273,4.538,4.385,4.385,4.333,4.231
ARNA UW Equity,3.571,3.857,4,4,4.625,4.667,4.667,4.7,4.7,4.7,4.7,4.545
ARNC UN Equity,3.6,3.8,4.4,4.273,4.077,4.077,3.857,4,3.833,3.833,3.667,4.167
AROC UN Equity,3.625,3.375,3.625,3.875,4.571,4.571,4.5,4.5,4.5,4.5,4.5,4.5
AROW UW Equity,3,3,3,3,3,3,3,3,3,3,3,3
ARR UN Equity,2.2,2,2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.6
ARTNA UW Equity,5,3,3,3,3,3,3,3,3,3,3,3
ARVN UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.333,4.333,3.667,4.429,4.8
ARW UN Equity,3.6,3.6,3.6,3.6,3.909,3.909,4.2,4.4,4,3.909,3.4,3.4
ARWR UW Equity,3,3,3.5,4,4.333,4.667,5,5,5,4.6,4.6,4.429
ASB UN Equity,3,3,3.125,3.125,3.133,3.4,3.4,3.267,3.143,3.154,3,2.8
ASC UN Equity,4.615,4.583,4.5,4.429,4.5,4.5,4.692,4.692,4.818,5,4.778,4.5
ASGN UN Equity,4.75,4.75,4.714,4.714,4.714,4.6,4.429,4.429,4.5,4.556,4.556,4.556
ASH UN Equity,4.077,4.077,4.077,4.077,4.385,4.667,4.636,4.667,4.667,4.5,4.455,4.636
ASIX UN Equity,3.667,4,4,4.5,4.5,4.5,4.5,4.667,4,4,3.75,3.75
ASMB UW Equity,5,5,5,5,4.6,4.2,4.333,4.667,4.667,4.667,5,5
ASNA UW Equity,3,2.778,2.714,2.714,2.714,2.714,2.667,2.667,2.6,3,3,3
ASPS UW Equity,2.333,1.667,2.333,2.333,2,3,3,3,3,3,3,3
ASRT UW Equity,3.545,3.625,3,3.571,3.571,3.667,3.667,3.4,3.4,3.4,3.667,3.667
ASTE UW Equity,3.857,3.857,3.571,3.857,4.6,4.6,4.333,3,3,3,3,3.5
AT UN Equity,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,2.75,3.25,3.25,3.25
ATEC UW Equity,#N/A N/A,#N/A N/A,5,4.333,5,5,5,5,5,5,5,5
ATEN UN Equity,4.429,4.429,4.333,4.2,3,3,3,4,4,3,3,3
ATEX UR Equity,5,5,5,5,5,5,5,5,5,5,5,4.5
ATGE UN Equity,4.143,4,4,4,4,4.333,4.333,4.333,4.6,4.6,4.6,4.6
ATH UN Equity,3.909,4.385,4.333,4.333,4.5,4.429,4.429,4.467,4.6,4.6,4.6,4.714
ATHX UR Equity,5,5,5,5,5,5,5,5,5,5,5,5
ATI UN Equity,3.2,3.4,3.8,3.8,4.273,4.167,4.091,4.5,4.538,4.231,4.167,4.273
ATKR UN Equity,4.429,4.429,4.714,4.333,4.2,4.2,3.8,3.8,3.667,3.667,4,4
ATLO UR Equity,#N/A N/A,,,,,,,,,,,
ATNI UW Equity,4.333,4.5,4.5,4,4.333,3,2,2.333,3.667,3.667,3.5,4.5
ATNX UW Equity,#N/A N/A,#N/A N/A,5,4.6,4.667,4.667,4.714,5,5,5,5,5
ATO UN Equity,3.857,3.857,3.769,3.727,3.833,3.909,4.2,3.889,3.8,3.8,3.909,3.833
ATR UN Equity,3.182,3,3.182,3.2,3.2,3.167,3,3,3,3,3.154,3.182
ATRA UW Equity,3.5,4,4,3.833,3.75,4.143,4.143,4.143,4.25,4.6,4.2,4
ATRC UQ Equity,4.125,4.222,4.625,4.625,4.714,4.714,4.714,4.714,4.714,5,5,5
ATRI UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1,1,1,1,1,1,1
ATRO UW Equity,4.4,4.4,4.4,4.4,4.4,4,4,4,4,3.833,3.833,3.833
ATRS UR Equity,5,5,5,5,5,5,5,5,5,5,5,5
ATSG UW Equity,4.25,4.25,4,4,4,4.429,4.429,4.714,4.857,4.857,4.833,4.8
ATUS UN Equity,#N/A N/A,4,4,4.4,4.636,4.593,4.714,4.767,4.767,4.724,4.613,4.438
ATVI UW Equity,4.478,4.44,4.481,4.517,4.484,4.467,4.333,4.419,4.294,4.222,4.444,4.486
